ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,app,aexp,rexp,oexp,rrexp,asexp,rsexp,asawr,rsawr,isbuggy,code_churn
1,2,2,1,0.9886994082884974,1,5.0,356714.0,16.0,3.0,0,4.0,235801.0,1.0,3.0,85.0,86.0,84.0,2.0,39.0,0.0352941176470588,0.4705882352941176,0.0,16
0,1,1,1,0.0,1,6.0,250793.0,28.0,15.0,0,31.0,4262413.0,6.0,1062.0,2259.0,2903.0,1932.0,958.0,1922.0,0.2171156893819334,0.4353633688023545,0.0,6
6,2,2,1,0.3095434291503252,1,1.0,130927.0,14.0,5.0,0,156.0,114295.0,4.0,1298.0,1541.0,2599.0,1211.0,1087.0,1361.0,0.1475454298887984,0.1847030105777054,0.0,18
5,5,5,1,0.6606496413992182,1,9.0,6738919.0,106.0,34.0,0,12.0,1274108.8,1.0,6.0,749.0,754.0,749.0,6.0,744.0,0.0009315943571998,0.0991482565877029,0.0,65
276,43,12,1,0.9312903772033108,1,1.0,635225.0,5.0,3.0,0,16.0,884412.4418604651,3.0,83.0,184.0,231.0,184.0,16.0,88.0,0.173469387755102,0.9081632653061223,0.0,548
17,3,3,1,0.1806963615767855,1,5.0,318441.0,30.0,19.0,0,69.0,283118.3333333333,4.0,44.0,622.0,622.0,622.0,27.0,536.0,0.0156774916013437,0.3006718924972004,0.0,40
283,8,5,1,0.8495018749170224,1,2.0,112913.0,12.0,4.0,0,5.0,280556.5,2.0,5.0,685.0,687.0,662.0,2.0,42.0,0.06,0.86,1.0,863
3,6,5,1,0.7875447319230593,1,6.0,6657471.0,59.0,21.0,0,49.0,2213113.1666666665,4.0,27.0,3202.0,3216.0,2330.0,15.0,3061.0,0.0019947637451689,0.3817479117317043,0.0,48
12,2,2,1,0.9995708393473224,1,4.0,146993.0,41.0,5.0,0,12.0,4829516.0,3.0,22.0,1561.0,1563.0,1286.0,17.0,826.0,0.0180722891566265,0.8303212851405622,0.0,41
2,1,1,1,0.0,1,3.0,619709.0,16.0,9.0,0,6.0,311548.0,3.0,568.0,786.0,812.0,601.0,434.0,449.0,0.4447852760736196,0.4601226993865031,0.0,4
0,10,3,1,0.0,1,2.0,5512.0,7.0,2.0,0,7.0,2350903.0,2.0,26.0,1022.0,1027.0,971.0,25.0,294.0,0.0720221606648199,0.817174515235457,0.0,0
2,1,1,1,0.0,1,3.0,1594747.0,15.0,7.0,0,4.0,6045967.0,3.0,16.0,874.0,886.0,684.0,15.0,836.0,0.0036060401171963,0.1886409736308316,0.0,5
5,3,2,1,0.7639956284037258,1,10.0,2008805.0,61.0,21.0,0,17.0,991240.3333333334,3.0,5.0,1400.0,1404.0,1289.0,5.0,1210.0,0.00164518782561,0.3320537428023032,0.0,44
201,2,1,1,0.9090221560878148,1,7.0,784612.0,44.0,15.0,0,17.0,994879.5,3.0,3.0,812.0,815.0,778.0,0.0,673.0,0.0013297872340425,0.8962765957446809,0.0,333
1,4,3,1,0.5841583926475513,1,21.0,-32841526.0,82.0,30.0,0,2.0,50945.0,3.0,15.0,53.0,55.0,53.0,14.0,45.0,0.1327433628318584,0.4070796460176991,1.0,463
